fecha,valor
2012-03-09,822
2012-03-12,827
2012-03-13,807
2012-03-14,795
2012-03-15,788
2012-03-16,792
2012-03-19,784
2012-03-20,793
2012-03-21,799
2012-03-22,814
2012-03-23,822
2012-03-26,829
2012-03-27,846
2012-03-28,880
2012-03-29,899
2012-03-30,880
2012-04-02,902
2012-04-03,900
2012-04-04,934
2012-04-05,938
2012-04-09,947
2012-04-10,960
2012-04-11,946
2012-04-12,931
2012-04-13,946
2012-04-16,976
2012-04-17,992
2012-04-18,1048
2012-04-19,1019
2012-04-20,994
2012-04-23,1010
2012-04-24,1003
2012-04-25,981
2012-04-26,983
2012-04-27,973
2012-04-30,962
2012-05-01,953
2012-05-02,967
2012-05-03,973
2012-05-04,998
2012-05-07,994
2012-05-08,1005
2012-05-09,1020
2012-05-10,1014
2012-05-11,1042
2012-05-14,1077
2012-05-15,1103
2012-05-16,1134
2012-05-17,1132
2012-05-18,1134
2012-05-21,1123
2012-05-22,1121
2012-05-23,1152
2012-05-24,1184
2012-05-25,1175
2012-05-29,1185
2012-05-30,1244
2012-05-31,1236
2012-06-01,1249
2012-06-04,1211
2012-06-05,1165
2012-06-06,1117
2012-06-07,1170
2012-06-08,1167
2012-06-11,1199
2012-06-12,1131
2012-06-13,1111
2012-06-14,1088
2012-06-15,1077
2012-06-18,1094
2012-06-19,1079
2012-06-20,1078
2012-06-21,1111
2012-06-22,1103
2012-06-25,1128
2012-06-26,1112
2012-06-27,1103
2012-06-28,1120
2012-06-29,1088
2012-07-02,1071
2012-07-03,1044
2012-07-05,1053
2012-07-06,1080
2012-07-09,1090
2012-07-10,1108
2012-07-11,1098
2012-07-12,1097
2012-07-13,1075
2012-07-16,1079
2012-07-17,1066
2012-07-18,1084
2012-07-19,1088
2012-07-20,1114
2012-07-23,1128
2012-07-24,1147
2012-07-25,1136
2012-07-26,1116
2012-07-27,1082
2012-07-30,1085
2012-07-31,1087
2012-08-01,1075
2012-08-02,1083
2012-08-03,1050
2012-08-06,1051
2012-08-07,1040
2012-08-08,1031
2012-08-09,1048
2012-08-10,1059
2012-08-13,1051
2012-08-14,1040
2012-08-15,1032
2012-08-16,1010
2012-08-17,1013
2012-08-20,1025
2012-08-21,1014
2012-08-22,1023
2012-08-23,1027
2012-08-24,1023
2012-08-27,1027
2012-08-28,1024
2012-08-29,1038
2012-08-30,1064
2012-08-31,1051
2012-09-04,1038
2012-09-05,1019
2012-09-06,991
2012-09-07,977
2012-09-10,971
2012-09-11,952
2012-09-12,944
2012-09-13,916
2012-09-14,871
2012-09-17,847
2012-09-18,881
2012-09-19,867
2012-09-20,866
2012-09-21,851
2012-09-24,859
2012-09-25,890
2012-09-26,907
2012-09-27,892
2012-09-28,897
2012-10-01,880
2012-10-02,882
2012-10-03,879
2012-10-04,856
2012-10-05,842
2012-10-09,888
2012-10-10,908
2012-10-11,891
2012-10-12,870
2012-10-15,851
2012-10-16,851
2012-10-17,845
2012-10-18,845
2012-10-19,866
2012-10-22,862
2012-10-23,860
2012-10-24,858
2012-10-25,851
2012-10-26,987
2012-10-29,1024
2012-10-31,1066
2012-11-01,1127
2012-11-02,1158
2012-11-05,1115
2012-11-06,1092
2012-11-07,1149
2012-11-08,1165
2012-11-09,1209
2012-11-13,1222
2012-11-14,1233
2012-11-15,1275
2012-11-16,1264
2012-11-19,1171
2012-11-20,1159
2012-11-21,1147
2012-11-23,1147
2012-11-26,1348
2012-11-27,1315
2012-11-28,1340
2012-11-29,1168
2012-11-30,1140
2012-12-03,1144
2012-12-04,1107
2012-12-05,1076
2012-12-06,1079
2012-12-07,1066
2012-12-10,1047
2012-12-11,1041
2012-12-12,1036
2012-12-13,1037
2012-12-14,1024
2012-12-17,1023
2012-12-18,1006
2012-12-19,1000
2012-12-20,997
2012-12-21,1014
2012-12-24,1012
2012-12-26,1013
2012-12-27,1014
2012-12-28,1002
2012-12-31,991
2013-01-02,949
2013-01-03,935
2013-01-04,943
2013-01-07,966
2013-01-08,1020
